交易编号,方向,结果,K1柱体,突破力度比,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘
1686,做多,止盈,51.88000000000011,-0.7511565150346988,4159.6,4165.55,4102.79,4107.72,4107.71,4126.58,4071.28,4118.78
608,做多,止盈,14.820000000000164,-0.7523616734142875,1892.41,1893.3,1876.41,1877.59,1877.6,1882.15,1872.39,1881.61
1239,做空,止盈,28.7199999999998,-0.7524373259053021,3697.36,3732.69,3689.99,3726.08,3726.09,3747.0,3711.6,3720.62
781,做多,止损,8.200000000000045,-0.7524390243902486,1830.0,1831.15,1821.03,1821.8,1821.8,1824.98,1816.47,1821.88
427,做空,止盈,21.01000000000022,-0.7524988100904227,2109.87,2139.97,2103.59,2130.88,2130.88,2140.4,2119.4,2122.8
878,做多,止盈,22.920000000000073,-0.7530541012216277,2516.29,2520.18,2486.82,2493.37,2493.36,2502.92,2476.03,2500.12
741,做多,止损,10.329999999999927,-0.7531461761858691,1623.99,1624.8,1611.51,1613.66,1613.65,1617.02,1611.3,1611.85
1240,做多,止损,25.370000000000346,-0.7532518722901012,3706.03,3708.83,3680.12,3680.66,3680.7,3689.72,3673.15,3681.5
1059,做多,止盈,98.57999999999993,-0.7546155406776215,2655.85,2656.16,2556.28,2557.27,2557.28,2581.77,2544.21,2570.3
128,做多,止盈,14.949999999999818,-0.7551839464883011,3235.27,3237.38,3216.5,3220.32,3220.39,3226.09,3204.18,3224.79
1018,做空,止盈,26.269999999999982,-0.7556147696992738,2691.4,2720.0,2688.92,2717.67,2717.67,2726.78,2708.77,2710.89
1705,做空,止盈,18.950000000000273,-0.7556728232189711,3819.89,3840.6,3819.63,3838.84,3838.83,3843.39,3833.95,3839.0
1354,做空,止损,31.149999999999636,-0.7556982343499274,4488.68,4520.0,4488.22,4519.83,4519.83,4531.95,4511.76,4516.04
1601,做多,止损,25.889999999999418,-0.7566628041715174,4175.36,4177.0,4147.78,4149.47,4149.47,4157.41,4142.63,4148.69
188,做多,止盈,51.65000000000009,-0.7574056147144206,2980.78,2981.98,2917.24,2929.13,2929.13,2942.86,2916.66,2928.36
782,做多,止损,14.470000000000027,-0.7588113337940565,1830.7,1830.89,1813.74,1816.23,1816.23,1819.91,1807.48,1817.93
1515,做多,止盈,18.670000000000073,-0.7600428494911379,4177.68,4178.37,4158.0,4159.01,4159.0,4164.18,4153.54,4159.51
112,做多,止损,17.199999999999818,-0.7604651162790735,3301.2,3302.93,3260.93,3284.0,3283.99,3289.85,3256.44,3279.44
882,做多,止盈,30.360000000000127,-0.7605401844532296,2572.57,2573.79,2537.82,2542.21,2542.21,2550.7,2524.68,2541.82
1607,做空,止盈,23.699999999999818,-0.7607594936708811,4228.35,4252.92,4223.42,4252.05,4252.06,4265.31,4241.45,4248.51
1103,做空,止盈,12.170000000000073,-0.7608874281019032,2449.89,2462.63,2445.77,2462.06,2462.06,2465.43,2455.03,2460.92
1606,做空,止损,23.01000000000022,-0.7609734897870514,4142.0,4174.68,4139.69,4165.01,4165.01,4188.58,4157.2,4163.61
1635,做多,止盈,33.590000000000146,-0.761238463828522,4021.3,4026.52,3983.34,3987.71,3987.7,4000.95,3970.01,3996.53
